time,open,high,low,close,volume
7 May 2020 22:26:0,9862.7,9869.16,9861.79,9866,39.827226
7 May 2020 22:25:0,9857.98,9865.88,9850.46,9864,66.547148
7 May 2020 22:24:0,9846.01,9860,9845.37,9856.25,93.276994
7 May 2020 22:23:0,9847,9848,9838.09,9847.16,62.788569
7 May 2020 22:22:0,9849.68,9850.88,9845.27,9847,50.650646
7 May 2020 22:21:0,9840,9850.93,9839.99,9850.02,74.676605
7 May 2020 22:20:0,9857.67,9859.97,9833,9839.99,131.128457
7 May 2020 22:19:0,9866.29,9866.95,9850,9857.03,96.708995
7 May 2020 22:18:0,9873.56,9875,9865.28,9866.65,36.299575
7 May 2020 22:17:0,9880,9881.53,9869.95,9873.57,55.471471
7 May 2020 22:16:0,9867.47,9880,9862.09,9879.07,77.351383
7 May 2020 22:15:0,9880.48,9880.69,9864.52,9867.32,64.843662
7 May 2020 22:14:0,9886.17,9889.78,9876.62,9881.21,51.721577
7 May 2020 22:13:0,9887.18,9889,9884.01,9886.18,32.108996
7 May 2020 22:12:0,9880.25,9887.18,9880,9886.96,38.545871
7 May 2020 22:11:0,9884.45,9889.34,9880.01,9880.03,67.300015
7 May 2020 22:10:0,9879.5,9886.77,9871.89,9883.94,48.272519
7 May 2020 22:9:0,9879.78,9890,9873.57,9879.51,70.322818
7 May 2020 22:8:0,9869.06,9885.71,9866.43,9879.78,89.5987
7 May 2020 22:7:0,9867.84,9870.32,9862.04,9868.8,81.414378
7 May 2020 22:6:0,9862.13,9869.91,9852.24,9867.84,164.979719
7 May 2020 22:5:0,9852.37,9865.17,9850.18,9861.89,89.021854
7 May 2020 22:4:0,9829.98,9858.42,9827.36,9851.44,111.35319
7 May 2020 22:3:0,9858.06,9858.08,9815.59,9828.16,192.280721
7 May 2020 22:2:0,9849.31,9864.4,9842.87,9858.19,208.590402
7 May 2020 22:1:0,9866.8,9874.47,9829.38,9849.31,223.624173
7 May 2020 22:0:0,9863.93,9895.02,9860.14,9867.12,198.943559
7 May 2020 21:59:0,9871,9879.45,9860.1,9863.93,109.196948
7 May 2020 21:58:0,9872.59,9891.35,9871,9871,94.795218
7 May 2020 21:57:0,9861.04,9885.54,9850.88,9874.09,130.707113
7 May 2020 21:56:0,9890.13,9892.85,9848.09,9855.3,185.19396
7 May 2020 21:55:0,9905.84,9913.6,9885.69,9892.1,126.410766
7 May 2020 21:54:0,9880.99,9918.8,9880.99,9905.73,201.97127
7 May 2020 21:53:0,9826.86,9904.93,9826.56,9884.88,490.80157
7 May 2020 21:52:0,9921.98,9927.34,9724.97,9834.93,1049.545541
7 May 2020 21:51:0,9949.99,9950,9920.95,9922.01,358.779184
7 May 2020 21:50:0,9934.41,9950,9932.18,9949.96,113.779423
7 May 2020 21:49:0,9941.99,9949.99,9933.98,9934.95,196.079482
7 May 2020 21:48:0,9930.03,9946.09,9929.65,9942.26,118.365348
7 May 2020 21:47:0,9927,9939,9921.15,9930.12,111.185451
7 May 2020 21:46:0,9925.95,9929.99,9915.25,9926.99,95.097903
7 May 2020 21:45:0,9903.17,9927.91,9901,9925.95,92.231145
7 May 2020 21:44:0,9915.14,9916.93,9890.47,9903.33,164.405935
7 May 2020 21:43:0,9919.99,9924.04,9914,9914.93,66.376251
7 May 2020 21:42:0,9930.66,9940,9912.22,9920,141.089468
7 May 2020 21:41:0,9934.38,9936.82,9911,9930.7,136.13778
7 May 2020 21:40:0,9928.25,9943.66,9927.55,9934.37,91.652054
7 May 2020 21:39:0,9917.4,9946.84,9908.17,9929.42,220.285827
