time,open,high,low,close,volume
21 Apr 2020 14:0:0,6792.79,6840,6782,6825.01,1646.532693
21 Apr 2020 13:30:0,6810.85,6827.76,6790.63,6793.29,1349.565068
21 Apr 2020 13:0:0,6807.2,6823.64,6762,6810.82,2034.994345
21 Apr 2020 12:30:0,6813.25,6830.48,6803.6,6807.2,782.599403
21 Apr 2020 12:0:0,6832.62,6852.99,6803.95,6812.53,1753.862989
21 Apr 2020 11:30:0,6818.59,6840,6770,6832.61,3255.578962
21 Apr 2020 11:0:0,6859.7,6869.15,6811,6818.58,1734.911783
21 Apr 2020 10:30:0,6865.45,6871.4,6846.01,6859.7,845.462717
21 Apr 2020 10:0:0,6878.62,6892.9,6852.64,6865.29,1066.768147
21 Apr 2020 9:30:0,6870.22,6884.16,6866.22,6878.68,837.862378
21 Apr 2020 9:0:0,6876.65,6884.88,6861.02,6871.05,832.188549
21 Apr 2020 8:30:0,6880.11,6896.47,6876.29,6876.67,850.75251
21 Apr 2020 8:0:0,6887.79,6902,6869.24,6879.97,1039.797999
21 Apr 2020 7:30:0,6883.31,6890,6867.38,6887.79,791.906342
21 Apr 2020 7:0:0,6852.71,6888,6841.83,6883.3,952.407199
21 Apr 2020 6:30:0,6845.04,6854.17,6831.71,6853.12,696.614388
21 Apr 2020 6:0:0,6857.92,6868.09,6830.29,6845.51,999.110984
21 Apr 2020 5:30:0,6865.73,6873.62,6845.18,6857.92,636.636919
21 Apr 2020 5:0:0,6848.32,6868.41,6840.55,6866.24,491.254269
21 Apr 2020 4:30:0,6853.42,6862.76,6837.79,6848.45,932.591321
21 Apr 2020 4:0:0,6874.97,6887.41,6840.91,6853.82,1139.712861
21 Apr 2020 3:30:0,6900.31,6901.61,6861.49,6874.64,917.27128
21 Apr 2020 3:0:0,6879.24,6908.49,6872.32,6900.31,752.879241
21 Apr 2020 2:30:0,6873.42,6917,6873.42,6878.54,1294.648271
21 Apr 2020 2:0:0,6828.98,6887.31,6811.05,6873.42,1645.895131
21 Apr 2020 1:30:0,6845.85,6873.54,6822.59,6826.83,1014.969225
21 Apr 2020 1:0:0,6875.63,6883.83,6812.51,6845.76,1393.510215
21 Apr 2020 0:30:0,6875.63,6885,6858.08,6875.63,681.88226
21 Apr 2020 0:0:0,6841.39,6894.32,6837.73,6875.58,1211.834916
20 Apr 2020 23:30:0,6859.03,6859.91,6825,6841.83,1048.075753
20 Apr 2020 23:0:0,6856.95,6878.83,6844.54,6858.61,1626.758458
20 Apr 2020 22:30:0,6828.08,6867.34,6823.01,6856.94,1698.573888
20 Apr 2020 22:0:0,6768.94,6857.96,6751,6828.05,3653.74063
20 Apr 2020 21:30:0,6846.62,6848,6766.43,6768.88,3739.281506
20 Apr 2020 21:0:0,6865.92,6892.86,6782,6846.75,5010.07488
20 Apr 2020 20:30:0,6867.13,6928.34,6853.31,6865.85,2656.069382
20 Apr 2020 20:0:0,6872.58,6987.18,6825,6866.93,5670.533838
20 Apr 2020 19:30:0,7025.6,7025.6,6837.03,6872.59,8525.728989
20 Apr 2020 19:0:0,7045.66,7047.94,6982.26,7025.6,2300.730013
20 Apr 2020 18:30:0,7042,7060,7026.07,7044.73,1022.101095
20 Apr 2020 18:0:0,7071.4,7087.85,7038.21,7042,1217.988488
20 Apr 2020 17:30:0,7078.91,7083.48,7056.59,7071.4,900.264154
20 Apr 2020 17:0:0,7065.74,7094.26,7052.1,7078.95,1844.158777
20 Apr 2020 16:30:0,7037.67,7077.8,7033.33,7065.64,1332.100128
20 Apr 2020 16:0:0,7022.81,7050.54,7010.52,7037.99,1480.356279
20 Apr 2020 15:30:0,7021.9,7050.99,7008.54,7022.81,1487.225369
20 Apr 2020 15:0:0,7035.05,7053.97,7008.94,7021.9,1923.017911
20 Apr 2020 14:30:0,6978,7067.35,6972.03,7034.11,3330.063525
20 Apr 2020 14:0:0,6965.42,6999.19,6912.34,6977.77,5245.449268
20 Apr 2020 13:30:0,7058.29,7066.85,6955.37,6966.55,5161.284542
20 Apr 2020 13:0:0,7076.45,7081.3,7056.11,7058.3,1154.747691
20 Apr 2020 12:30:0,7115,7115,7015,7076.45,4332.809778
20 Apr 2020 12:0:0,7145.9,7146.44,7095.61,7115,1990.100394
20 Apr 2020 11:30:0,7137.01,7155,7120,7146.56,903.591701
20 Apr 2020 11:0:0,7150.16,7158,7136.75,7137,847.539985
20 Apr 2020 10:30:0,7151.09,7157.33,7137.78,7150.16,740.390847
20 Apr 2020 10:0:0,7185.18,7188.32,7136.37,7151.02,1237.795789
20 Apr 2020 9:30:0,7181.94,7198,7171.87,7184.94,654.062633
20 Apr 2020 9:0:0,7167.95,7186,7156.26,7181.39,882.470456
20 Apr 2020 8:30:0,7157.39,7175.8,7154.01,7167.97,638.874123
20 Apr 2020 8:0:0,7173.22,7180.88,7154.43,7157.39,684.65817
20 Apr 2020 7:30:0,7169.38,7185.02,7168,7173.29,566.397568
20 Apr 2020 7:0:0,7173.74,7184.85,7154.49,7169.29,884.040518
20 Apr 2020 6:30:0,7197.1,7208.93,7163.28,7173.57,867.980701
20 Apr 2020 6:0:0,7161.55,7220,7161.35,7197.03,1729.768166
20 Apr 2020 5:30:0,7171.49,7177.16,7155,7161.03,628.154848
20 Apr 2020 5:0:0,7173.9,7184.83,7160.72,7171.49,878.024293
20 Apr 2020 4:30:0,7155,7187,7154.12,7173.45,821.909401
