time,open,high,low,close,volume
21 Apr 2020 10:0:0,6878.62,6892.9,6762,6793.29,12823.743414
21 Apr 2020 6:0:0,6857.92,6902,6830.29,6878.68,7000.640349
21 Apr 2020 2:0:0,6828.98,6917,6811.05,6857.92,7810.889293
20 Apr 2020 22:0:0,6768.94,6894.32,6751,6826.83,12329.345345
20 Apr 2020 18:0:0,7071.4,7087.85,6766.43,6768.88,30142.508191
20 Apr 2020 14:0:0,6965.42,7094.26,6912.34,7071.4,17542.635411
20 Apr 2020 10:0:0,7185.18,7188.32,6955.37,6966.55,16368.260727
20 Apr 2020 6:0:0,7161.55,7220,7154.01,7184.94,6908.252335
20 Apr 2020 2:0:0,7121.4,7187,7082,7161.03,6858.489361
19 Apr 2020 22:0:0,7134.25,7210,7104.28,7120.74,7121.412853
19 Apr 2020 18:0:0,7097.34,7170.58,7086,7134.28,6586.68198
19 Apr 2020 14:0:0,7162.66,7170,7055.6,7097.33,10911.212817
19 Apr 2020 10:0:0,7145.49,7186,7123.18,7163.19,5442.135139
19 Apr 2020 6:0:0,7229.27,7243.79,7100,7146.77,9449.906081
19 Apr 2020 2:0:0,7248.6,7266.15,7180,7229.96,6153.51506
18 Apr 2020 22:0:0,7211.2,7293.08,7199,7248.6,7545.470495
18 Apr 2020 18:0:0,7243.65,7255,7155.01,7211.2,8898.467002
18 Apr 2020 14:0:0,7104.52,7268.9,7078.74,7243.37,19266.296563
18 Apr 2020 10:0:0,7089.78,7120.93,7054.11,7104.52,4562.15589
18 Apr 2020 6:0:0,7085.86,7120,7077.44,7089.72,3556.769213
18 Apr 2020 2:0:0,7026.78,7109.99,7014.4,7086.8,5659.383656
17 Apr 2020 22:0:0,7071.48,7148.12,7015,7027.55,8260.539949
17 Apr 2020 18:0:0,7037.95,7090.39,7022.5,7072.71,6419.157008
17 Apr 2020 14:0:0,7075.23,7100,6972.98,7037.94,11784.18966
17 Apr 2020 10:0:0,7043.17,7126.33,7026.09,7074.61,9779.42734
17 Apr 2020 6:0:0,7086.18,7087.76,7015,7043.38,7998.544195
17 Apr 2020 2:0:0,7101.99,7138.26,7015.01,7086.18,9884.651611
16 Apr 2020 22:0:0,7071.01,7190,6970.03,7101.94,17402.15291
16 Apr 2020 18:0:0,7046.29,7095,6952.2,7070.79,13183.365822
16 Apr 2020 14:0:0,7023.98,7093,6930,7045.51,18710.315469
16 Apr 2020 10:0:0,6893.24,7147.28,6871.13,7023.99,30760.137761
16 Apr 2020 6:0:0,6651.69,6980,6621.35,6892.4,26267.96592
16 Apr 2020 2:0:0,6621.25,6667.94,6468.27,6651.87,18685.919657
15 Apr 2020 22:0:0,6730.01,6761.99,6605,6621.24,9512.709152
15 Apr 2020 18:0:0,6701.9,6773.89,6690,6730.01,7244.398103
15 Apr 2020 14:0:0,6782.86,6783.47,6680.1,6701.9,18153.095576
15 Apr 2020 10:0:0,6862.06,6880,6750,6783,13205.804737
15 Apr 2020 6:0:0,6906.56,6933,6858.63,6862.05,6687.879683
15 Apr 2020 2:0:0,6868.57,6918.52,6810.06,6906.56,6767.497743
14 Apr 2020 22:0:0,6918.18,6932.65,6825.15,6868.7,7105.907183
14 Apr 2020 18:0:0,6906.4,6978,6859.59,6918.18,12904.295084
14 Apr 2020 14:0:0,6827.78,6949,6797.41,6906.38,17100.788162
14 Apr 2020 10:0:0,6817.77,6878.01,6754.28,6827.82,12285.230246
14 Apr 2020 6:0:0,6885.29,6921.35,6815.77,6817.77,10607.585571
14 Apr 2020 2:0:0,6838.04,6918.41,6802.1,6885.07,9064.817039
13 Apr 2020 22:0:0,6772.72,6891.1,6772.67,6837.91,12050.411995
13 Apr 2020 18:0:0,6765.66,6803,6725,6772.74,9824.397491
13 Apr 2020 14:0:0,6771.01,6809.97,6603,6765.65,22650.545418
13 Apr 2020 10:0:0,6699.39,6833,6655.33,6771.01,14358.497214
13 Apr 2020 6:0:0,6675.53,6738.34,6638,6699.34,9936.004264
13 Apr 2020 2:0:0,6903.79,6903.79,6575,6675.52,27595.620191
12 Apr 2020 22:0:0,7112.13,7159.86,6885,6903.79,17211.941617
12 Apr 2020 18:0:0,7018.99,7177,7012,7112.13,23559.022538
12 Apr 2020 14:0:0,6846.83,7034.75,6846.66,7018.99,16702.169586
12 Apr 2020 10:0:0,6828.64,6878,6820,6847.18,5497.020547
12 Apr 2020 6:0:0,6806.5,6845.67,6780,6828.64,4488.842468
12 Apr 2020 2:0:0,6876.84,6906.26,6789,6806.49,6409.669745
11 Apr 2020 22:0:0,6803.22,6887.05,6760,6876.83,8534.538172
11 Apr 2020 18:0:0,6831.32,6859,6771.44,6803.22,8373.558724
11 Apr 2020 14:0:0,6878.38,6888.92,6802.8,6831.28,6736.288935
11 Apr 2020 10:0:0,6876.43,6896.78,6830,6878.21,7649.51617
11 Apr 2020 6:0:0,6907.08,6944.3,6860,6876.7,8148.95288
11 Apr 2020 2:0:0,6858.92,6920,6836.41,6907.82,6027.438325
10 Apr 2020 22:0:0,6900.13,6931.93,6818.88,6858.92,7977.018435
10 Apr 2020 18:0:0,6766.76,6948,6740.09,6900.31,16649.614694
10 Apr 2020 14:0:0,6898.24,6930,6739.98,6766.43,21929.885
10 Apr 2020 10:0:0,6922.89,6958.22,6853.7,6898.24,14066.598436
10 Apr 2020 6:0:0,7175.77,7175.78,6870,6922.98,33951.547816
10 Apr 2020 2:0:0,7283.54,7295.75,7157.45,7175.78,10099.958994
9 Apr 2020 22:0:0,7262.85,7315,7241,7283.54,4901.310926
9 Apr 2020 18:0:0,7283.13,7314.12,7232,7262.85,8328.621532
9 Apr 2020 14:0:0,7184,7350,7108.08,7282.68,20032.493984
9 Apr 2020 10:0:0,7329.99,7349,7150,7183.98,12544.660256
9 Apr 2020 6:0:0,7286.35,7339.09,7234.96,7330,7534.627487
9 Apr 2020 2:0:0,7360.26,7371.92,7260,7286.34,7753.158232
8 Apr 2020 22:0:0,7307.6,7390,7290,7361.28,9711.384462
8 Apr 2020 18:0:0,7277.42,7349.99,7251.64,7306.09,11606.305448
8 Apr 2020 14:0:0,7292.26,7342.45,7200,7276.83,13564.741126
8 Apr 2020 10:0:0,7320.76,7342.91,7216.23,7292.92,13288.806786
8 Apr 2020 6:0:0,7352.7,7420,7282,7321.85,13083.962305
8 Apr 2020 2:0:0,7197.32,7388,7150,7353.41,14803.945711
7 Apr 2020 22:0:0,7287.62,7293.29,7077,7197.32,20732.316162
7 Apr 2020 18:0:0,7318.3,7388.04,7280.12,7287.55,11100.656438
7 Apr 2020 14:0:0,7381.03,7459.69,7260,7318.04,20538.895583
