time,open,high,low,close,volume
30 Dec 2018 1:0:0,3696.71,3903.5,3657.9,3801.91,33222.369262
29 Dec 2018 1:0:0,3839,3892,3670,3695.32,38874.373903
28 Dec 2018 1:0:0,3567.89,3887.25,3540.04,3839.26,45964.304987
27 Dec 2018 1:0:0,3777.74,3813.98,3535,3567.91,44097.392912
26 Dec 2018 1:0:0,3745.56,3837.15,3656.74,3777.74,42629.375817
25 Dec 2018 1:0:0,4010.11,4020,3646.41,3745.79,62725.629432
24 Dec 2018 1:0:0,3929.71,4198,3924.83,4008.01,64647.809129
23 Dec 2018 1:0:0,3948.91,4021.53,3870,3929.71,40117.531529
22 Dec 2018 1:0:0,3840.25,3979,3785,3948.91,42822.350872
21 Dec 2018 1:0:0,4051.86,4139.99,3764,3838.66,82343.850112
20 Dec 2018 1:0:0,3660.01,4120,3635,4049.62,101543.835986
19 Dec 2018 1:0:0,3653,3912.73,3622.55,3662.22,94137.341014
18 Dec 2018 1:0:0,3509.03,3678.59,3424.47,3652.98,61369.615257
17 Dec 2018 1:0:0,3229.22,3585,3216,3509.08,66761.751697
16 Dec 2018 1:0:0,3211.71,3294,3186,3228.67,24628.808538
15 Dec 2018 1:0:0,3225.19,3276.5,3156.26,3211.72,29796.041436
14 Dec 2018 1:0:0,3302.06,3335.39,3177,3224.17,44492.983807
13 Dec 2018 1:0:0,3446.38,3460,3255.5,3302.06,40040.917013
12 Dec 2018 1:0:0,3379.23,3492,3350,3445,33922.931286
11 Dec 2018 1:0:0,3434.01,3480,3324.32,3380.39,35920.864154
10 Dec 2018 1:0:0,3548.49,3610,3370.11,3432.88,40989.244553
9 Dec 2018 1:0:0,3411.36,3658,3394.04,3545.37,45956.893296
8 Dec 2018 1:0:0,3403.57,3495,3222,3410.93,55365.949949
7 Dec 2018 1:0:0,3508.75,3549.99,3224.6,3403.55,95145.457442
6 Dec 2018 1:0:0,3768.44,3899.99,3500,3508.75,68378.796943
5 Dec 2018 1:0:0,3950.98,3970,3745,3769.84,44004.799448
4 Dec 2018 1:0:0,3884.76,4085,3781,3951.64,48489.551613
3 Dec 2018 1:0:0,4160.55,4179,3827,3884.01,49094.369163
2 Dec 2018 1:0:0,4190.98,4312.99,4103.04,4161.01,38912.15479
1 Dec 2018 1:0:0,4041.27,4299.99,3963.01,4190.02,44840.073481
30 Nov 2018 1:0:0,4295.72,4341.36,3943,4041.32,67758.446283
29 Nov 2018 1:0:0,4262.06,4450.38,4125.65,4295.84,73980.198669
28 Nov 2018 1:0:0,3875.63,4394.47,3874.27,4264.85,91983.567949
27 Nov 2018 1:0:0,3864.45,3940,3689.12,3875.21,67480.607212
26 Nov 2018 1:0:0,4088.69,4206,3701,3862.2,94503.750767
25 Nov 2018 1:0:0,3933.68,4233,3652.66,4085.78,101693.975588
24 Nov 2018 1:0:0,4415.63,4527,3824.69,3932.44,61693.111006
23 Nov 2018 1:0:0,4370.9,4484,4222.94,4420.61,49371.920322
22 Nov 2018 1:0:0,4661.08,4721.77,4335,4370,34531.119143
21 Nov 2018 1:0:0,4559.91,4787.2,4413.85,4661.07,61071.829475
20 Nov 2018 1:0:0,4913.4,5048.24,4326,4558.86,117380.95159
19 Nov 2018 1:0:0,5661.94,5664,4855,4910.03,70580.892856
18 Nov 2018 1:0:0,5630.49,5738.17,5617,5662,23844.999347
17 Nov 2018 1:0:0,5650.57,5656.6,5565.43,5628.29,26411.241413
16 Nov 2018 1:0:0,5757.09,5782.89,5549.25,5655.94,38721.802274
15 Nov 2018 1:0:0,5917.2,5939.54,5403.42,5753.4,47700.829401
14 Nov 2018 1:0:0,6458.98,6482.84,5656.87,5922.41,46478.964003
13 Nov 2018 1:0:0,6451.68,6498,6391.15,6457.66,11790.564933
12 Nov 2018 1:0:0,6450.71,6497,6421,6453.07,10132.782567
11 Nov 2018 1:0:0,6435.16,6462.14,6355,6449.81,8213.507117
10 Nov 2018 1:0:0,6419.99,6475.55,6411,6433.05,7714.829926
9 Nov 2018 1:0:0,6479.84,6511.53,6391.01,6419.99,11787.616583
8 Nov 2018 1:0:0,6578.46,6594,6468.22,6479.84,13259.789282
7 Nov 2018 1:0:0,6522.73,6615.15,6509,6578.46,14271.591117
6 Nov 2018 1:0:0,6468.99,6531.31,6445.18,6519.11,11926.565699
5 Nov 2018 1:0:0,6485.85,6504.39,6431.02,6468.99,8987.882156
4 Nov 2018 1:0:0,6388,6525,6359,6485.85,10592.394943
3 Nov 2018 1:0:0,6432.8,6439.97,6345,6387.09,7661.241476
2 Nov 2018 1:0:0,6410,6460.34,6388.2,6433.98,9739.440679
1 Nov 2018 1:0:0,6369.52,6442.65,6348.66,6410,9099.035841
31 Oct 2018 1:0:0,6330.01,6428,6245.02,6371.93,12148.888216
30 Oct 2018 1:0:0,6344.5,6395,6317.01,6330.87,8877.175385
29 Oct 2018 1:0:0,6489.93,6505.01,6315,6344.5,13827.224067
28 Oct 2018 2:0:0,6505.6,6514.17,6453,6489.93,5743.933728
27 Oct 2018 2:0:0,6538.63,6558.35,6463.04,6505.6,7776.907864
26 Oct 2018 2:0:0,6528.13,6600,6515.01,6538.63,9443.504156
25 Oct 2018 2:0:0,6566.81,6575.09,6502.8,6528.09,10342.701244
24 Oct 2018 2:0:0,6553.51,6630,6547.53,6565.5,11951.543977
23 Oct 2018 2:0:0,6581.2,6595,6515.45,6553.51,13856.601756
22 Oct 2018 2:0:0,6590.12,6639,6535.27,6581.2,16213.69266
21 Oct 2018 2:0:0,6585.72,6663.9,6580,6590.11,6515.357792
20 Oct 2018 2:0:0,6528.88,6617.65,6505.55,6588.4,19240.722247
19 Oct 2018 2:0:0,6618.96,6648.14,6523,6528.88,20772.60077
18 Oct 2018 2:0:0,6739.01,6796,6567,6618.96,20116.521941
17 Oct 2018 2:0:0,6762.76,6811.12,6676.01,6740.89,26641.431379
16 Oct 2018 2:0:0,6752.5,6900,6670,6759.27,27557.957764
15 Oct 2018 2:0:0,6339.34,7680,6300,6752.5,90748.031246
14 Oct 2018 2:0:0,6332.92,6416,6308,6339.34,15627.411314
13 Oct 2018 2:0:0,6298,6345,6285.07,6332.93,19098.070025
12 Oct 2018 2:0:0,6252.71,6360,6209,6298.01,29004.071419
11 Oct 2018 2:0:0,6630.21,6633.92,6205,6252.68,48712.400332
10 Oct 2018 2:0:0,6656.67,6659.95,6530,6631,15390.661444
9 Oct 2018 2:0:0,6673.01,6685.38,6607,6656.61,15354.779469
8 Oct 2018 2:0:0,6615.26,6715.6,6587,6673.01,23123.419541
7 Oct 2018 2:0:0,6596.44,6640,6525,6615.26,17406.831762
6 Oct 2018 2:0:0,6635.65,6651,6566.77,6594.27,10939.505391
5 Oct 2018 2:0:0,6591.69,6697,6543.08,6635.65,16096.552392
4 Oct 2018 2:0:0,6510.01,6643.46,6505.09,6593.79,20074.300818
3 Oct 2018 2:0:0,6525.79,6549,6430,6510,28451.969138
2 Oct 2018 2:0:0,6610,6640,6494,6525.79,28245.810088
1 Oct 2018 2:0:0,6626.57,6667.09,6510,6611.61,20621.506894
30 Sep 2018 2:0:0,6597.66,6662,6533,6626.57,27764.724519
29 Sep 2018 2:0:0,6634.58,6636,6464.57,6596.38,30255.9597
28 Sep 2018 2:0:0,6689.12,6814.8,6540.88,6634.58,42399.448523
27 Sep 2018 2:0:0,6467.84,6750,6434,6689.13,33087.428297
26 Sep 2018 2:0:0,6445.11,6557.99,6379.7,6465.12,33484.54207
25 Sep 2018 2:0:0,6581.42,6584.01,6325.02,6447.54,40301.029452
24 Sep 2018 2:0:0,6706.81,6730,6557,6581.39,35305.73991
23 Sep 2018 2:0:0,6723.05,6788.23,6661.75,6708,30286.229773
22 Sep 2018 2:0:0,6759.01,6839.03,6627,6723.05,29349.690667
21 Sep 2018 2:0:0,6492,6784.86,6491,6759.02,51779.343463
20 Sep 2018 2:0:0,6392,6540,6325,6492,25189.024728
19 Sep 2018 2:0:0,6336.39,6517.7,6123,6391.89,39044.080082
18 Sep 2018 2:0:0,6248.69,6390,6224.98,6336.45,32620.86667
17 Sep 2018 2:0:0,6500.08,6533.84,6201,6248.69,35987.254738
16 Sep 2018 2:0:0,6514.96,6524.62,6370,6505,27568.132897
15 Sep 2018 2:0:0,6476.63,6565.45,6466.13,6514.96,25243.656612
14 Sep 2018 2:0:0,6487.39,6584.99,6385.62,6476.63,37173.339277
13 Sep 2018 2:0:0,6338.62,6535,6337.4,6487.38,40465.063107
12 Sep 2018 2:0:0,6293,6360,6192.37,6338.62,31433.645939
11 Sep 2018 2:0:0,6311.99,6404,6169.68,6294.91,33104.88859
10 Sep 2018 2:0:0,6252.26,6373.98,6221,6312,32439.456432
9 Sep 2018 2:0:0,6185.06,6441,6141.53,6250.81,37053.92382
8 Sep 2018 2:0:0,6395.54,6478,6111,6185.05,38215.032171
7 Sep 2018 2:0:0,6516.84,6544,6320,6395.54,38906.28805
6 Sep 2018 2:0:0,6697.27,6725,6265,6516.01,60644.464227
5 Sep 2018 2:0:0,7359.05,7397.3,6682,6700,63715.256267
4 Sep 2018 2:0:0,7263,7410,7227.17,7359.06,35300.640518
3 Sep 2018 2:0:0,7302,7338.28,7191.63,7263.02,32396.018371
2 Sep 2018 2:0:0,7201.57,7345.45,7127,7302.01,39814.840352
1 Sep 2018 2:0:0,7011.21,7275,7008.74,7200.01,40323.414093
31 Aug 2018 2:0:0,6984.84,7089,6888,7011.21,40467.400638
30 Aug 2018 2:0:0,7033.21,7063.63,6784.81,6984.84,44716.77462
29 Aug 2018 2:0:0,7077,7133.81,6912.34,7031.22,43252.487392
28 Aug 2018 2:0:0,6907.26,7135,6860,7076.11,48352.917163
27 Aug 2018 2:0:0,6700,6940.51,6646.5,6908.64,37747.078747
26 Aug 2018 2:0:0,6733.64,6775.27,6568,6700,20107.297208
25 Aug 2018 2:0:0,6686.98,6789,6650.61,6733.64,19220.505929
24 Aug 2018 2:0:0,6525,6725,6440.5,6681.64,38305.675322
23 Aug 2018 2:0:0,6362.57,6576.99,6342.28,6525.01,40358.166825
22 Aug 2018 2:0:0,6479.98,6882.54,6251.2,6360.89,77909.391359
21 Aug 2018 2:0:0,6251,6500,6235.08,6480,41569.947408
20 Aug 2018 2:0:0,6477.53,6530,6220,6254.84,49435.55526
19 Aug 2018 2:0:0,6387.96,6541,6300,6477.53,45190.847994
18 Aug 2018 2:0:0,6579.04,6620,6288,6387.96,53742.322172
17 Aug 2018 2:0:0,6316,6585,6285.4,6584.49,57851.610803
16 Aug 2018 2:0:0,6265.27,6480,6205.6,6311.75,48515.254618
15 Aug 2018 2:0:0,6188.08,6609,6172.11,6267.16,68806.687026
14 Aug 2018 2:0:0,6248.25,6250.33,5880,6188.08,50186.745091
13 Aug 2018 2:0:0,6308.56,6545,6145.04,6246.35,53895.828783
12 Aug 2018 2:0:0,6222.55,6472.3,6130,6308.33,38567.770712
11 Aug 2018 2:0:0,6148.13,6488,5971,6232.35,47133.418555
10 Aug 2018 2:0:0,6529.79,6575.88,6026.39,6144.01,59034.974902
9 Aug 2018 2:0:0,6283.27,6622.81,6178.6,6529.79,51941.185111
8 Aug 2018 2:0:0,6720.63,6721.54,6123,6285,59550.536319
7 Aug 2018 2:0:0,6935,7150.46,6670,6720.06,45438.473501
6 Aug 2018 2:0:0,7024.19,7160,6821,6934.82,32760.191643
5 Aug 2018 2:0:0,7009.84,7089.87,6882.29,7024.19,32894.849782
4 Aug 2018 2:0:0,7412.27,7494.81,6926,7009.84,36288.42601
3 Aug 2018 2:0:0,7525.71,7540,7282.44,7418.78,44669.486047
2 Aug 2018 2:0:0,7600.08,7709.46,7455.72,7525.71,37665.696684
1 Aug 2018 2:0:0,7735.67,7750,7430,7604.58,42582.312932
31 Jul 2018 2:0:0,8171.4,8180,7633,7730.93,48296.915587
30 Jul 2018 2:0:0,8210.99,8273,7866,8173.92,39692.416542
29 Jul 2018 2:0:0,8225.04,8294.51,8115,8211,25531.226185
28 Jul 2018 2:0:0,8188.57,8246.54,8067,8225.04,26215.173839
27 Jul 2018 2:0:0,7920,8285,7805,8188.57,43671.005891
26 Jul 2018 2:0:0,8175.63,8315.69,7850.06,7920,43223.481682
25 Jul 2018 2:0:0,8397.24,8491.77,8050,8175.64,48257.649124
24 Jul 2018 2:0:0,7721.65,8486,7696,8397.24,60121.163749
23 Jul 2018 2:0:0,7394.78,7833,7375,7721.01,41646.346671
22 Jul 2018 2:0:0,7399.25,7582.4,7335.5,7394.79,30270.21844
