time,open,high,low,close,volume
31 Dec 2019 23:0:0,7185.92,7208.41,7181.78,7200.48,651.161077
31 Dec 2019 22:0:0,7176.51,7188.93,7171.01,7186.19,410.27669
31 Dec 2019 21:0:0,7173.75,7187.89,7165.1,7176.41,508.304012
31 Dec 2019 20:0:0,7169.32,7185,7156.85,7173.32,763.625618
31 Dec 2019 19:0:0,7167.72,7174.04,7145.01,7168.86,1288.451914
31 Dec 2019 18:0:0,7212.45,7213.56,7151,7168.12,1614.277285
31 Dec 2019 17:0:0,7195,7225.62,7186.77,7211.49,991.617726
31 Dec 2019 16:0:0,7237.44,7261.02,7188.88,7195.96,2998.778306
31 Dec 2019 15:0:0,7239.14,7320,7230.63,7237.68,3118.588515
31 Dec 2019 14:0:0,7247.99,7252,7235.63,7239.43,997.770038
31 Dec 2019 13:0:0,7243.64,7248,7222.14,7247.99,868.789959
31 Dec 2019 12:0:0,7244.08,7256.94,7236.02,7243.39,747.358008
31 Dec 2019 11:0:0,7229.2,7255.15,7217.5,7245.01,1119.879062
31 Dec 2019 10:0:0,7229.84,7244,7219.07,7229.2,1721.205342
31 Dec 2019 9:0:0,7250.3,7250.54,7223.36,7229.18,910.421744
31 Dec 2019 8:0:0,7244.72,7255.02,7236.01,7250.37,572.777026
31 Dec 2019 7:0:0,7264.05,7267,7243.94,7244.98,667.3494
31 Dec 2019 6:0:0,7240.21,7268.48,7240.09,7264.06,650.479214
31 Dec 2019 5:0:0,7236.6,7263.15,7228.4,7240.37,774.064951
31 Dec 2019 4:0:0,7247.01,7250,7221,7236.39,622.927341
31 Dec 2019 3:0:0,7264.96,7266.74,7225.34,7246.99,735.587624
31 Dec 2019 2:0:0,7251,7269,7245,7265.4,906.250932
31 Dec 2019 1:0:0,7246,7255,7200,7251,1792.533352
31 Dec 2019 0:0:0,7277.57,7285.49,7239,7246,754.558614
30 Dec 2019 23:0:0,7269.04,7288.88,7266.02,7276.47,480.546333
30 Dec 2019 22:0:0,7265.24,7281.33,7256.58,7269.04,776.57262
30 Dec 2019 21:0:0,7241.15,7284.16,7235.1,7265.23,1166.597014
30 Dec 2019 20:0:0,7245.39,7257.89,7232.01,7240.99,729.059883
30 Dec 2019 19:0:0,7259,7268.1,7245.07,7245.12,828.52164
30 Dec 2019 18:0:0,7257.25,7270,7234.34,7259.05,1126.103444
30 Dec 2019 17:0:0,7261.1,7268.54,7220,7257.58,2435.282915
30 Dec 2019 16:0:0,7307.12,7307.81,7251,7262.08,2732.520527
30 Dec 2019 15:0:0,7320.18,7339.58,7298.41,7307.12,1183.086317
30 Dec 2019 14:0:0,7303.56,7343.99,7280,7320.17,2156.526417
30 Dec 2019 13:0:0,7314.74,7338.89,7301.5,7304.43,1217.363825
30 Dec 2019 12:0:0,7312.91,7327.74,7301.44,7315.11,1261.751788
30 Dec 2019 11:0:0,7326.11,7349.7,7293.12,7312.7,2416.271261
30 Dec 2019 10:0:0,7365,7377.89,7323.84,7326.1,1538.342241
30 Dec 2019 9:0:0,7385.27,7385.29,7341,7365.01,1543.418823
30 Dec 2019 8:0:0,7385.2,7408.24,7378.34,7385.29,1425.504039
30 Dec 2019 7:0:0,7379.84,7389,7365.54,7385.03,834.288966
30 Dec 2019 6:0:0,7374.88,7381.57,7366.98,7379.77,611.536393
30 Dec 2019 5:0:0,7349.54,7379.99,7345.22,7374.97,914.678008
30 Dec 2019 4:0:0,7360.03,7365.94,7343.85,7349.51,670.581067
30 Dec 2019 3:0:0,7354,7370.97,7342.69,7360.03,500.902263
30 Dec 2019 2:0:0,7339.74,7361.89,7331.3,7353.99,707.498771
30 Dec 2019 1:0:0,7388.43,7389.83,7312,7339.1,1594.398613
30 Dec 2019 0:0:0,7398.48,7415.11,7383.85,7388.24,701.032762
29 Dec 2019 23:0:0,7395.08,7428.22,7385.4,7399.81,938.708527
29 Dec 2019 22:0:0,7397.7,7408.99,7359.99,7395.59,1573.230015
29 Dec 2019 21:0:0,7472.13,7528.45,7345.8,7397.54,5616.06314
29 Dec 2019 20:0:0,7425.57,7480,7413.88,7473.05,1998.137147
29 Dec 2019 19:0:0,7410.71,7427.99,7401.72,7425.31,741.436446
29 Dec 2019 18:0:0,7405.32,7411.91,7380.47,7410.97,822.343099
29 Dec 2019 17:0:0,7395.03,7430,7388.53,7405.91,2086.661247
29 Dec 2019 16:0:0,7388.82,7419.02,7360.44,7394.13,1819.444885
29 Dec 2019 15:0:0,7392.77,7414.69,7383.49,7388.82,1948.78371
29 Dec 2019 14:0:0,7363.2,7400,7344.07,7392.84,2446.352228
29 Dec 2019 13:0:0,7346.08,7367,7322.9,7363.46,2005.771995
29 Dec 2019 12:0:0,7321.08,7348,7320.64,7345.83,1068.249509
29 Dec 2019 11:0:0,7312.99,7328.99,7311.36,7321.08,673.113661
29 Dec 2019 10:0:0,7353.89,7359.59,7308.92,7312.98,1212.372305
29 Dec 2019 9:0:0,7315.5,7360.67,7315,7354.59,1426.570871
29 Dec 2019 8:0:0,7318.2,7323.39,7311.11,7315,394.899746
29 Dec 2019 7:0:0,7318.02,7323.99,7306.47,7318.2,513.496697
29 Dec 2019 6:0:0,7299.46,7319,7292.84,7318,414.898008
29 Dec 2019 5:0:0,7307.06,7308.78,7297.98,7299.35,583.733455
29 Dec 2019 4:0:0,7308.66,7312.55,7299.99,7307.27,498.565409
29 Dec 2019 3:0:0,7289.69,7310.85,7288,7308.66,663.311998
29 Dec 2019 2:0:0,7308.11,7309.52,7288.3,7289.4,560.759826
29 Dec 2019 1:0:0,7315.36,7316.14,7290,7307.64,679.169399
29 Dec 2019 0:0:0,7325.59,7335,7305.95,7316.14,589.411886
28 Dec 2019 23:0:0,7331.48,7333.46,7296.52,7325.57,930.480235
28 Dec 2019 22:0:0,7339.85,7344.13,7326.44,7331.39,530.919328
28 Dec 2019 21:0:0,7344.7,7355,7323.85,7339.84,704.548583
28 Dec 2019 20:0:0,7341.7,7358,7333.08,7344.77,704.269438
28 Dec 2019 19:0:0,7340.45,7365.01,7326.31,7341.7,1450.556447
28 Dec 2019 18:0:0,7321.48,7356.2,7313.02,7340.45,984.029627
28 Dec 2019 17:0:0,7304.24,7340,7275.07,7322.47,1937.698806
28 Dec 2019 16:0:0,7325.5,7359.9,7290,7304.27,1707.917703
28 Dec 2019 15:0:0,7305,7329.29,7300.65,7325.5,813.283046
28 Dec 2019 14:0:0,7301.3,7305.05,7285,7304.94,754.29564
28 Dec 2019 13:0:0,7308.32,7312.12,7294.24,7301.23,848.813532
28 Dec 2019 12:0:0,7322.75,7323,7283.65,7308.28,865.795186
28 Dec 2019 11:0:0,7308.07,7329.47,7295.29,7321.24,736.204978
28 Dec 2019 10:0:0,7294.03,7315.78,7281.44,7307.42,771.870874
28 Dec 2019 9:0:0,7302.53,7304.08,7261.57,7294.71,1384.683247
28 Dec 2019 8:0:0,7300.93,7324.86,7291.08,7302.99,1039.337641
28 Dec 2019 7:0:0,7317.99,7360,7290.91,7299.9,2180.532184
28 Dec 2019 6:0:0,7299.37,7333.53,7298.84,7318.65,1448.176765
28 Dec 2019 5:0:0,7288,7309.91,7276.72,7299.37,923.912215
28 Dec 2019 4:0:0,7295.41,7303.97,7275,7288,659.192015
28 Dec 2019 3:0:0,7311.7,7327.9,7271.79,7295.44,1142.616236
28 Dec 2019 2:0:0,7311.43,7340,7291.18,7312.01,1529.381881
28 Dec 2019 1:0:0,7254.77,7317,7238.67,7312.9,2211.054706
28 Dec 2019 0:0:0,7241.33,7256.24,7230,7254.74,612.259709
27 Dec 2019 23:0:0,7228.3,7261,7222.64,7240.79,897.849801
27 Dec 2019 22:0:0,7223.5,7235.77,7212.78,7228.52,598.824439
27 Dec 2019 21:0:0,7215.05,7235.88,7215.05,7223.81,642.62207
27 Dec 2019 20:0:0,7220.83,7229.15,7191.01,7216.1,919.158244
27 Dec 2019 19:0:0,7203.88,7237.81,7203.86,7220.4,898.435946
27 Dec 2019 18:0:0,7203.03,7219.1,7186.91,7204.42,909.624068
27 Dec 2019 17:0:0,7237.75,7275.86,7177.14,7203.88,2579.53315
27 Dec 2019 16:0:0,7203.09,7264,7195.8,7238.42,1612.142189
27 Dec 2019 15:0:0,7193.54,7217.33,7190,7203.1,1266.517489
27 Dec 2019 14:0:0,7227.45,7271.89,7177.15,7193.79,3251.376083
27 Dec 2019 13:0:0,7136.38,7238.35,7092.99,7226.29,4056.867708
27 Dec 2019 12:0:0,7189.19,7195.95,7076.42,7137.72,3675.306959
27 Dec 2019 11:0:0,7188.9,7206.62,7180.62,7189.21,1170.455586
27 Dec 2019 10:0:0,7197.94,7203.6,7185.19,7189.56,818.629291
27 Dec 2019 9:0:0,7188.42,7216.26,7178.17,7197.82,1484.174328
27 Dec 2019 8:0:0,7201.25,7210,7175,7188.63,1397.684892
27 Dec 2019 7:0:0,7209.78,7219.35,7189.01,7201.24,819.704428
27 Dec 2019 6:0:0,7194.51,7224.28,7190.02,7210.29,1244.617604
27 Dec 2019 5:0:0,7232.04,7243.79,7190,7194.52,1442.316512
27 Dec 2019 4:0:0,7222.69,7249,7215.39,7232.02,995.369045
27 Dec 2019 3:0:0,7212.35,7241.61,7210,7223.58,1210.830077
27 Dec 2019 2:0:0,7206.34,7214.07,7192.31,7212,452.057363
27 Dec 2019 1:0:0,7202,7222.59,7190,7206.3,686.34488
27 Dec 2019 0:0:0,7199.44,7214.59,7185.26,7202,709.576458
26 Dec 2019 23:0:0,7197.81,7206.66,7157.12,7199.45,2217.497835
26 Dec 2019 22:0:0,7255.53,7255.93,7192.14,7199.89,2267.309954
26 Dec 2019 21:0:0,7296.1,7331.42,7240.12,7255.91,2995.07437
26 Dec 2019 20:0:0,7362.86,7435,7235.47,7301.38,4243.048494
26 Dec 2019 19:0:0,7368.81,7400,7349.79,7363.37,1745.173281
26 Dec 2019 18:0:0,7338.64,7388,7320,7368.81,3613.674653
26 Dec 2019 17:0:0,7231.83,7341.79,7197.02,7336.71,4615.31525
26 Dec 2019 16:0:0,7216.4,7244,7199.27,7231.45,1425.346649
26 Dec 2019 15:0:0,7208.65,7222.82,7202.86,7216.37,1084.691651
26 Dec 2019 14:0:0,7207.51,7217,7195.02,7209.45,905.673093
26 Dec 2019 13:0:0,7189.06,7218,7183.27,7207.11,966.79206
26 Dec 2019 12:0:0,7217.63,7221.43,7185.8,7188.02,1273.020295
26 Dec 2019 11:0:0,7211,7227.25,7210.5,7217.65,644.66535
26 Dec 2019 10:0:0,7224.2,7235.37,7208.51,7211,979.595806
26 Dec 2019 9:0:0,7209.2,7240.76,7206.27,7224.71,1497.005865
26 Dec 2019 8:0:0,7206.57,7218.06,7198,7209.2,874.400744
26 Dec 2019 7:0:0,7188.31,7223.15,7182.92,7207.34,1002.302363
26 Dec 2019 6:0:0,7182.51,7195,7176.8,7188.31,532.669462
26 Dec 2019 5:0:0,7182.84,7197,7180,7182.26,494.59289
26 Dec 2019 4:0:0,7200.37,7203.67,7177.14,7183.01,583.251854
26 Dec 2019 3:0:0,7205.74,7216.27,7199.17,7199.17,481.531151
26 Dec 2019 2:0:0,7191.93,7208.47,7185,7205.64,490.55351
26 Dec 2019 1:0:0,7205.01,7219.99,7190,7191.93,616.998038
26 Dec 2019 0:0:0,7213.56,7217.31,7188.51,7204.63,518.415093
25 Dec 2019 23:0:0,7219.75,7230,7168.42,7213.57,1290.055597
25 Dec 2019 22:0:0,7245.34,7250.65,7209,7220.1,1095.794582
25 Dec 2019 21:0:0,7238.02,7269.99,7208.92,7244.04,1699.978711
25 Dec 2019 20:0:0,7174.51,7247,7166.01,7239.02,1703.495364
25 Dec 2019 19:0:0,7164.17,7178.84,7140,7173.41,816.001335
25 Dec 2019 18:0:0,7145.7,7176.38,7131.39,7164.17,1326.971456
25 Dec 2019 17:0:0,7189.58,7204.34,7128.86,7146.21,2444.660947
25 Dec 2019 16:0:0,7190.66,7204.99,7180,7189.56,845.077531
25 Dec 2019 15:0:0,7190,7210.54,7172.01,7191.15,1418.038084
25 Dec 2019 14:0:0,7229.17,7229.17,7179.69,7191.54,1579.266089
25 Dec 2019 13:0:0,7216.92,7256,7170.73,7229.48,2593.471893
25 Dec 2019 12:0:0,7227.67,7240,7212.99,7217.03,798.5358
25 Dec 2019 11:0:0,7232.99,7246.51,7210.45,7227.67,1109.481427
25 Dec 2019 10:0:0,7253.12,7261.04,7220.46,7232.97,1075.361229
25 Dec 2019 9:0:0,7252.16,7267.85,7239.36,7253.8,1094.380847
25 Dec 2019 8:0:0,7231.85,7271.77,7201,7252.19,1580.648356
25 Dec 2019 7:0:0,7232.06,7245.94,7222.69,7231.85,682.334
25 Dec 2019 6:0:0,7246.69,7256.08,7230,7232.59,568.054028
25 Dec 2019 5:0:0,7229.99,7262.6,7228.26,7246.77,608.091073
25 Dec 2019 4:0:0,7233.19,7248.26,7219.39,7229.58,615.414702
25 Dec 2019 3:0:0,7243.67,7256.46,7228.6,7233.9,543.083978
25 Dec 2019 2:0:0,7232.02,7250,7213.12,7243.67,714.582372
25 Dec 2019 1:0:0,7255.77,7267.39,7224.29,7232.33,770.849829
25 Dec 2019 0:0:0,7239.16,7273.86,7209.46,7255.77,712.97951
24 Dec 2019 23:0:0,7253.12,7263.57,7219.68,7239.15,936.487082
