time,open,high,low,close,volume
30 Jan 2021 23:30:0,34563.55,34665.93,34516.78,34526.13,895.097276
30 Jan 2021 23:0:0,34675.53,34800,34521.45,34564.43,1199.695335
30 Jan 2021 22:30:0,34217.82,34690,34160.78,34675.53,1204.110401
30 Jan 2021 22:0:0,34157.5,34239.69,33966.4,34217.82,883.847554
30 Jan 2021 21:30:0,34399.04,34420.77,34080,34154.63,899.003062
30 Jan 2021 21:0:0,34286.5,34449.69,34150.01,34399.04,1119.49041
30 Jan 2021 20:30:0,34130.48,34340,34092.64,34286.5,892.051061
30 Jan 2021 20:0:0,34340,34400.02,34028.87,34130.47,1155.89382
30 Jan 2021 19:30:0,34269.38,34350,34132.77,34340,1019.719481
30 Jan 2021 19:0:0,34252.02,34351,34110.12,34273.68,1239.028397
30 Jan 2021 18:30:0,34190.24,34272.77,34048.64,34253.67,1361.11758
30 Jan 2021 18:0:0,33956.7,34290.44,33943,34190.24,1971.690325
30 Jan 2021 17:30:0,33544.45,34031.1,33540.41,33956.7,2406.293253
30 Jan 2021 17:0:0,34210.18,34262.35,33520,33543.02,3183.661524
30 Jan 2021 16:30:0,34221.05,34500,34160.57,34210.2,1760.136028
30 Jan 2021 16:0:0,34234.73,34299,34057.22,34221.04,1199.80665
30 Jan 2021 15:30:0,34138.53,34250,34000,34234.73,1379.282163
30 Jan 2021 15:0:0,34237.69,34400,34086.77,34139.3,1618.487711
30 Jan 2021 14:30:0,33902.82,34349.63,33786.11,34237.69,1698.77178
30 Jan 2021 14:0:0,33751.77,33982.58,33666.67,33902.81,1320.603379
30 Jan 2021 13:30:0,33498.66,33832.78,33478.47,33751.77,1268.680411
30 Jan 2021 13:0:0,33660.4,33816.81,33410.63,33498.66,1734.743342
30 Jan 2021 12:30:0,34163.26,34184.2,33510,33660.4,2216.298625
30 Jan 2021 12:0:0,34299.82,34328.59,33926.51,34163.26,1430.573754
30 Jan 2021 11:30:0,34025.32,34392,34007.39,34299.82,2059.172389
30 Jan 2021 11:0:0,34253.17,34372.84,33870.95,34025.32,1912.628403
30 Jan 2021 10:30:0,34094.28,34355.51,34001.59,34253.18,1365.595546
30 Jan 2021 10:0:0,33883.85,34424.7,33809.39,34092.65,2021.217189
30 Jan 2021 9:30:0,34226.29,34243.58,33775.44,33887.5,1973.26735
30 Jan 2021 9:0:0,34046.82,34358.97,34022.97,34226.28,2926.753544
30 Jan 2021 8:30:0,33808.34,34200,33400,34046.8,2374.65071
30 Jan 2021 8:0:0,33809.79,33924.8,33650,33808.33,1493.268115
30 Jan 2021 7:30:0,33435.77,33850,33258.21,33809.79,1722.395497
30 Jan 2021 7:0:0,33503.72,33594.21,33137.8,33439.6,1962.598346
30 Jan 2021 6:30:0,33520.9,33986.4,33330.36,33503.72,2131.570395
30 Jan 2021 6:0:0,33503.14,33588.88,33174.55,33517.56,1506.894162
30 Jan 2021 5:30:0,33466.21,33656.08,33260,33503.13,1565.481945
30 Jan 2021 5:0:0,33273.36,33588,33001.52,33466.21,2620.454778
30 Jan 2021 4:30:0,33392.27,33447.44,32825,33273.36,3756.211039
30 Jan 2021 4:0:0,33861.55,34000,33201,33392.28,3051.508148
30 Jan 2021 3:30:0,34362.7,34443.96,33817.21,33862.51,1763.526753
30 Jan 2021 3:0:0,34123.06,34385.69,33674.7,34366.36,2224.670584
