time,open,high,low,close,volume
30 Nov 2020 23:45:0,19400.76,19500,19399.24,19499.99,514.927628
30 Nov 2020 23:30:0,19381,19445,19363.06,19400.76,499.220133
30 Nov 2020 23:15:0,19334.74,19384.51,19278.38,19381.04,489.250131
30 Nov 2020 23:0:0,19379.86,19382.32,19233.09,19334.74,749.749993
30 Nov 2020 22:45:0,19400.5,19425,19323.18,19381.25,564.280579
30 Nov 2020 22:30:0,19433.84,19467.39,19395.94,19400.5,542.154112
30 Nov 2020 22:15:0,19497.33,19520,19424.75,19433.93,854.82858
30 Nov 2020 22:0:0,19439.27,19500,19390.01,19497.33,770.860737
30 Nov 2020 21:45:0,19426.15,19448.75,19368,19439.48,617.494091
30 Nov 2020 21:30:0,19417.02,19494.35,19376.58,19427.19,1178.347168
30 Nov 2020 21:15:0,19378.9,19433.41,19321,19417.03,783.922165
30 Nov 2020 21:0:0,19259.98,19409.23,19170.78,19378.9,1165.658653
30 Nov 2020 20:45:0,19235.46,19287,19193.47,19259.98,681.488535
30 Nov 2020 20:30:0,19299.89,19315,19161,19235.46,930.615616
30 Nov 2020 20:15:0,19210.16,19310,19204.46,19299.89,695.845687
30 Nov 2020 20:0:0,19175.87,19269,19050,19210.16,983.516362
30 Nov 2020 19:45:0,19344.45,19348.47,19158,19175.78,681.363557
30 Nov 2020 19:30:0,19240.32,19348,19141.89,19344.45,1537.047529
30 Nov 2020 19:15:0,19274.61,19349.97,19179.52,19240.33,1530.934959
30 Nov 2020 19:0:0,19393.6,19467.23,19272,19274.6,1011.729792
30 Nov 2020 18:45:0,19419.96,19470,19356.98,19393.6,1203.301093
30 Nov 2020 18:30:0,19287.53,19425,19286.53,19419.95,1353.44113
30 Nov 2020 18:15:0,19262.76,19317.76,19200.11,19287.53,1125.436961
30 Nov 2020 18:0:0,19196.41,19333.33,19011.1,19262.75,3053.966077
30 Nov 2020 17:45:0,19340,19372.51,19127.48,19196.4,2133.202286
30 Nov 2020 17:30:0,19531,19538,19307.03,19340,1329.048323
30 Nov 2020 17:15:0,19478.59,19545,19425.33,19531,1571.807939
30 Nov 2020 17:0:0,19291.88,19579,19291.68,19478.59,2353.047276
30 Nov 2020 16:45:0,19480.54,19552.31,19241.52,19291.88,2353.965043
30 Nov 2020 16:30:0,19674.99,19703.71,19152.25,19480.55,5197.17157
30 Nov 2020 16:15:0,19811.1,19829.98,19625.22,19675,2920.799616
30 Nov 2020 16:0:0,19480.73,19863.16,19474.33,19811.1,5756.060306
30 Nov 2020 15:45:0,19383.07,19782.1,19322.78,19480.8,8666.32228
30 Nov 2020 15:30:0,19279.12,19400,19200.01,19383.08,2410.937209
30 Nov 2020 15:15:0,19220.86,19295,19135,19279.12,1885.027977
30 Nov 2020 15:0:0,19151.49,19337.51,19150,19221.31,2830.092844
30 Nov 2020 14:45:0,18966.01,19210,18964.93,19151.49,4077.788595
30 Nov 2020 14:30:0,18933.96,19000,18861.33,18966.01,2069.919102
30 Nov 2020 14:15:0,18904.95,18937.26,18845.17,18933.96,1457.124191
30 Nov 2020 14:0:0,18837.16,18909.27,18788.11,18904.95,1682.155478
30 Nov 2020 13:45:0,18748.37,18840,18745.61,18837.16,1013.767245
30 Nov 2020 13:30:0,18760.51,18800,18721.86,18748.37,872.990892
30 Nov 2020 13:15:0,18719.16,18800,18694.81,18761.01,1393.701841
30 Nov 2020 13:0:0,18600.94,18739,18600.94,18719.16,1394.748776
30 Nov 2020 12:45:0,18624.66,18645.71,18587.51,18600.95,661.994724
30 Nov 2020 12:30:0,18628.25,18655,18578.62,18621.95,1173.277198
30 Nov 2020 12:15:0,18594.99,18650,18569.93,18628.26,910.635352
30 Nov 2020 12:0:0,18503.11,18634.36,18503.11,18594.99,667.575414
30 Nov 2020 11:45:0,18538.55,18546.33,18500.99,18503.06,514.113651
30 Nov 2020 11:30:0,18542.79,18589,18527.13,18538.54,503.478518
30 Nov 2020 11:15:0,18505.23,18560,18474.58,18543.21,679.425457
30 Nov 2020 11:0:0,18478.54,18520,18446.5,18505.24,543.900257
30 Nov 2020 10:45:0,18396.23,18481.68,18376.77,18478.54,642.26615
30 Nov 2020 10:30:0,18413.17,18416.99,18326.03,18396.22,1160.901867
