time,open,high,low,close,volume
29 Nov 2020 1:0:0,17719.84,18360.05,17517,18184.99,55329.016303
28 Nov 2020 1:0:0,17139.53,17880.49,16865.56,17719.85,64910.69997
27 Nov 2020 1:0:0,17149.47,17457.62,16438.08,17139.52,85297.024787
26 Nov 2020 1:0:0,18718.83,18915.03,16188,17149.47,181005.246693
25 Nov 2020 1:0:0,19160,19484.21,18500.27,18719.11,93266.576887
24 Nov 2020 1:0:0,18368.01,19418.97,18018,19160.01,113581.509241
23 Nov 2020 1:0:0,18413.88,18766,18000,18368,82961.506093
22 Nov 2020 1:0:0,18703.8,18750,17610.86,18414.43,81645.737778
21 Nov 2020 1:0:0,18655.66,18965.9,18308.58,18703.8,75577.458394
20 Nov 2020 1:0:0,17802.81,18815.22,17740.04,18655.67,88423.018489
19 Nov 2020 1:0:0,17777.75,18179.8,17335.65,17802.82,93009.561008
18 Nov 2020 1:0:0,17659.38,18476.93,17214.45,17776.12,149019.788134
17 Nov 2020 1:0:0,16713.08,17858.82,16538,17659.38,115221.403102
16 Nov 2020 1:0:0,15957,16880,15864,16713.57,81300.675924
15 Nov 2020 1:0:0,16069.56,16180,15774.72,15957,43596.841513
14 Nov 2020 1:0:0,16320.04,16326.99,15670,16070.45,59116.347179
13 Nov 2020 1:0:0,16291.85,16480,15952.35,16320.7,75691.881014
12 Nov 2020 1:0:0,15684.25,16340.7,15440.64,16291.86,102196.356592
11 Nov 2020 1:0:0,15297.21,15965,15272.68,15684.24,78469.746458
10 Nov 2020 1:0:0,15328.41,15460,15072.46,15297.21,61681.919606
9 Nov 2020 1:0:0,15475.1,15840,14805.54,15328.41,108976.334134
8 Nov 2020 1:0:0,14818.3,15650,14703.88,15475.1,65547.178574
7 Nov 2020 1:0:0,15579.93,15753.52,14344.22,14818.3,101431.206553
6 Nov 2020 1:0:0,15590.02,15960,15166,15579.92,122618.197695
5 Nov 2020 1:0:0,14144.01,15750,14093.56,15590.02,143741.522673
4 Nov 2020 1:0:0,14023.53,14259,13525,14144.01,93016.988262
3 Nov 2020 1:0:0,13549.63,14066.11,13284.99,14023.53,74115.630787
2 Nov 2020 1:0:0,13761.49,13830,13195.05,13549.37,64566.421908
1 Nov 2020 1:0:0,13791,13895,13603,13761.5,36285.648526
