time,open,high,low,close,volume
30 Nov 2020 23:0:0,19379.86,19500,19233.09,19499.99,2253.147885
30 Nov 2020 22:0:0,19439.27,19520,19323.18,19381.25,2732.124008
30 Nov 2020 21:0:0,19259.98,19494.35,19170.78,19439.48,3745.422077
30 Nov 2020 20:0:0,19175.87,19315,19050,19259.98,3291.4662
30 Nov 2020 19:0:0,19393.6,19467.23,19141.89,19175.78,4761.075837
30 Nov 2020 18:0:0,19196.41,19470,19011.1,19393.6,6736.145261
30 Nov 2020 17:0:0,19291.88,19579,19127.48,19196.4,7387.105824
30 Nov 2020 16:0:0,19480.73,19863.16,19152.25,19291.88,16227.996535
30 Nov 2020 15:0:0,19151.49,19782.1,19135,19480.8,15792.38031
30 Nov 2020 14:0:0,18837.16,19210,18788.11,19151.49,9286.987366
30 Nov 2020 13:0:0,18600.94,18840,18600.94,18837.16,4675.208754
30 Nov 2020 12:0:0,18503.11,18655,18503.11,18600.95,3413.482688
30 Nov 2020 11:0:0,18478.54,18589,18446.5,18503.06,2240.917883
30 Nov 2020 10:0:0,18462.7,18510,18326.03,18478.54,3054.085606
30 Nov 2020 9:0:0,18623.05,18625,18375.55,18462.31,4220.609403
30 Nov 2020 8:0:0,18520.27,18677,18512.9,18623,3499.555499
30 Nov 2020 6:0:0,18523.79,18627.29,18477.62,18520.47,1835.535407
30 Nov 2020 5:0:0,18579.67,18619.79,18450,18523.79,2119.718173
30 Nov 2020 4:0:0,18506.87,18593.81,18431.26,18579.5,2283.371404
30 Nov 2020 3:0:0,18482.1,18550,18435.81,18506.87,2470.427799
30 Nov 2020 2:0:0,18430.33,18548.32,18347.81,18481.97,3561.592417
30 Nov 2020 1:0:0,18185,18477,18184.99,18430.33,4461.711904
30 Nov 2020 0:0:0,18133.22,18230,18088,18184.99,1687.70425
29 Nov 2020 23:0:0,18254.24,18264.99,18060.83,18133.21,2136.944698
29 Nov 2020 22:0:0,18207.39,18360.05,18202.36,18255,3253.805105
29 Nov 2020 21:0:0,18042.85,18228,18027.82,18207.4,2554.56347
29 Nov 2020 20:0:0,18118.27,18125.17,18008.12,18042.86,1293.545754
29 Nov 2020 19:0:0,18094.31,18128.94,18040,18118.27,1310.443979
29 Nov 2020 18:0:0,18089.79,18145.14,18045.31,18094.31,1930.811428
29 Nov 2020 17:0:0,18119.97,18147,17926,18089.78,2833.668102
29 Nov 2020 16:0:0,18039.82,18140,17966.16,18119.97,2052.877585
29 Nov 2020 15:0:0,18097.46,18194.13,18030,18039.82,2431.456325
29 Nov 2020 14:0:0,18030.08,18148.97,17919,18097.46,2430.791961
29 Nov 2020 13:0:0,18089.75,18132.32,17882.82,18030.08,2938.19158
29 Nov 2020 12:0:0,18192.83,18250,18000,18090.44,3536.065448
29 Nov 2020 11:0:0,18104.35,18227.3,18036.04,18192.82,3715.25868
29 Nov 2020 10:0:0,18144.98,18209.65,18049.92,18104.35,3332.481216
29 Nov 2020 9:0:0,17817.34,18154.44,17803.78,18144.99,4846.146026
29 Nov 2020 8:0:0,17729.27,17849.21,17666,17817.34,1937.993089
29 Nov 2020 7:0:0,17790.31,17792.62,17707.31,17729.27,1179.756442
29 Nov 2020 6:0:0,17763,17837.53,17751,17790.31,1006.516218
29 Nov 2020 5:0:0,17867.48,17867.49,17758.66,17763,1324.771807
29 Nov 2020 4:0:0,17742.25,17886.21,17724.19,17867.48,1891.221617
29 Nov 2020 3:0:0,17587.53,17793,17545.28,17742.25,1601.800201
29 Nov 2020 2:0:0,17649.24,17663.11,17520,17587.53,1442.267549
29 Nov 2020 1:0:0,17719.84,17760,17517,17649.23,2659.933773
29 Nov 2020 0:0:0,17760.03,17807.1,17661.21,17719.85,1869.462737
28 Nov 2020 23:0:0,17741.05,17843,17612.33,17760.03,2697.874029
28 Nov 2020 22:0:0,17673.21,17751.99,17660.3,17741.05,1493.252522
28 Nov 2020 21:0:0,17814.5,17880.49,17671.14,17673.21,3336.930892
28 Nov 2020 20:0:0,17730,17840,17670.75,17814.5,2843.669555
28 Nov 2020 19:0:0,17745.73,17765.23,17640.38,17729.99,3355.363365
28 Nov 2020 18:0:0,17707.26,17748.99,17580.64,17745.74,3612.396753
28 Nov 2020 17:0:0,17517.04,17772.09,17516.52,17707.26,7586.110418
28 Nov 2020 16:0:0,17336.07,17530.46,17336.06,17517.04,4554.761505
