time,open,high,low,close,volume
31 Dec 2018 23:45:0,3684.09,3687.02,3677.45,3686.43,190.685461
31 Dec 2018 23:30:0,3671.76,3684.4,3670.87,3682.29,168.247599
31 Dec 2018 23:15:0,3664.16,3674,3664.16,3671.78,162.484881
31 Dec 2018 23:0:0,3671.71,3674.95,3662.02,3664.18,249.132721
31 Dec 2018 22:45:0,3667.79,3674.95,3665,3671.72,184.529811
31 Dec 2018 22:30:0,3673.55,3674.75,3665.96,3668.34,207.87332
31 Dec 2018 22:15:0,3673.19,3677,3669.01,3673.07,208.619657
31 Dec 2018 22:0:0,3672,3678,3672,3673.23,142.235642
31 Dec 2018 21:45:0,3677.28,3683.98,3669,3672,318.794531
31 Dec 2018 21:30:0,3671.73,3679,3668,3677.3,367.789306
31 Dec 2018 21:15:0,3674.26,3679,3664.64,3672.81,434.274884
31 Dec 2018 21:0:0,3687.47,3688.77,3657.7,3675.11,665.671475
31 Dec 2018 20:45:0,3674.67,3690.83,3630.33,3687.47,2313.259607
31 Dec 2018 20:30:0,3732.45,3739.46,3670.01,3674.67,741.627732
31 Dec 2018 20:15:0,3738.16,3738.16,3725,3732.49,167.192001
31 Dec 2018 20:0:0,3741.27,3742.22,3729.86,3738,183.367891
31 Dec 2018 19:45:0,3745.8,3746.1,3735.72,3741.52,178.448846
31 Dec 2018 19:30:0,3740.38,3748.98,3740.1,3745.67,143.59544
31 Dec 2018 19:15:0,3736.89,3742.96,3735.06,3740.13,127.635172
31 Dec 2018 19:0:0,3736.57,3739.35,3731.64,3737.42,182.625978
31 Dec 2018 18:45:0,3737.52,3739.55,3732.76,3736.31,167.810387
31 Dec 2018 18:30:0,3733.08,3739.42,3729.08,3737.82,195.206984
31 Dec 2018 18:15:0,3732.65,3734.97,3723.13,3732.62,184.619487
31 Dec 2018 18:0:0,3737.59,3742.92,3722,3731.33,375.832231
31 Dec 2018 17:45:0,3744.49,3745.09,3725,3736.17,277.779969
31 Dec 2018 17:30:0,3743.1,3747.99,3737,3743.41,250.088372
31 Dec 2018 17:15:0,3745.71,3747.13,3731.99,3741.95,302.972275
31 Dec 2018 17:0:0,3752.22,3776.85,3736.98,3745.71,387.55091
31 Dec 2018 16:45:0,3751.26,3756.72,3745,3752.46,189.809091
31 Dec 2018 16:30:0,3754.86,3757.4,3744.26,3751.26,230.788727
31 Dec 2018 16:15:0,3738.73,3759.72,3738.43,3754.31,355.874381
31 Dec 2018 16:0:0,3769.42,3783.34,3721.11,3738.89,905.351264
31 Dec 2018 15:45:0,3739.81,3780.83,3738.17,3769.57,581.581017
31 Dec 2018 15:30:0,3731.32,3742,3730.29,3739.57,154.304055
31 Dec 2018 15:15:0,3729.65,3732.62,3724.81,3730.45,122.023544
31 Dec 2018 15:0:0,3732.23,3734,3726.65,3729.72,160.536641
31 Dec 2018 14:45:0,3736.31,3739.07,3726.49,3732.23,160.170524
31 Dec 2018 14:30:0,3736.62,3737.62,3729.18,3736.31,156.049704
31 Dec 2018 14:15:0,3736.85,3737.73,3725.85,3735.99,216.674311
31 Dec 2018 14:0:0,3731.87,3739.82,3729.9,3736.07,237.84723
31 Dec 2018 13:45:0,3727.49,3737.42,3724.7,3731.58,246.952853
31 Dec 2018 13:30:0,3719.98,3729.74,3718.61,3727.73,237.000485
31 Dec 2018 13:15:0,3723.78,3729.09,3715,3719.98,239.074884
31 Dec 2018 13:0:0,3725.42,3726.28,3715.19,3723.77,276.014193
31 Dec 2018 12:45:0,3725.56,3728.83,3716.66,3725.42,315.249604
31 Dec 2018 12:30:0,3725.38,3735.28,3720.02,3723.86,400.516303
31 Dec 2018 12:15:0,3717.88,3733,3713,3726.64,590.320815
31 Dec 2018 12:0:0,3772,3773.53,3692.11,3716.38,1407.340497
31 Dec 2018 11:45:0,3779,3780.02,3770,3771.5,157.506369
31 Dec 2018 11:30:0,3774.84,3783.44,3774.84,3779,207.04588
31 Dec 2018 11:15:0,3774.47,3777.47,3769.37,3775.88,264.364941
31 Dec 2018 11:0:0,3775.59,3778.67,3769,3774.96,266.987117
31 Dec 2018 10:45:0,3771.77,3791.63,3770.67,3775.59,562.829344
31 Dec 2018 10:30:0,3753.99,3778.73,3752.88,3771.68,401.864499
31 Dec 2018 10:15:0,3753.89,3760,3752,3752.64,218.743357
31 Dec 2018 10:0:0,3751.85,3760,3751.04,3754,158.019712
31 Dec 2018 9:45:0,3752.8,3755,3750.67,3752.21,153.355812
31 Dec 2018 9:30:0,3753.4,3761,3751.68,3752.82,225.168569
31 Dec 2018 9:15:0,3748.04,3757.25,3745,3753.4,239.957041
31 Dec 2018 9:0:0,3755.35,3758.27,3743.15,3748.01,209.463703
31 Dec 2018 8:45:0,3755.89,3759.89,3750.76,3754.45,192.28742
31 Dec 2018 8:30:0,3756.19,3758.71,3751.68,3754.03,126.146974
31 Dec 2018 8:15:0,3758.44,3763.12,3755.01,3756.32,117.489484
31 Dec 2018 8:0:0,3757,3763.12,3753.46,3759.61,167.992323
31 Dec 2018 7:45:0,3752.91,3759.53,3750.93,3757.45,116.542609
31 Dec 2018 7:30:0,3747.2,3755,3746.8,3752.93,178.601802
31 Dec 2018 7:15:0,3745.55,3755.99,3744.42,3747.57,156.927434
31 Dec 2018 7:0:0,3747.82,3747.9,3742.48,3744.98,140.19597
31 Dec 2018 6:45:0,3735.62,3749.58,3735,3747.45,121.978475
31 Dec 2018 6:30:0,3746,3750,3735,3735.85,221.480373
31 Dec 2018 6:15:0,3752.56,3753.44,3745.04,3745.35,168.585668
31 Dec 2018 6:0:0,3753.78,3755.6,3746.94,3751.29,151.993604
31 Dec 2018 5:45:0,3754.67,3755.85,3751.18,3753.72,174.136881
31 Dec 2018 5:30:0,3744.84,3756.06,3731.76,3755.75,253.532353
31 Dec 2018 5:15:0,3752.01,3753.05,3742,3745.98,194.082001
31 Dec 2018 5:0:0,3744.59,3755.74,3742.12,3753.04,299.939247
31 Dec 2018 4:45:0,3742.4,3746.93,3738.73,3744.58,221.75111
31 Dec 2018 4:30:0,3743.94,3749.45,3740.7,3742.73,307.780409
31 Dec 2018 4:15:0,3745.23,3749.3,3739.2,3742.31,363.415695
31 Dec 2018 4:0:0,3727.93,3751.58,3725.48,3744.37,649.592913
31 Dec 2018 3:45:0,3741.47,3741.47,3715.73,3727.93,1280.92867
31 Dec 2018 3:30:0,3757.01,3758.73,3740,3741.47,585.844644
31 Dec 2018 3:15:0,3764.22,3765.57,3755.5,3757.01,240.517542
31 Dec 2018 3:0:0,3762.65,3767.6,3751.01,3765.56,326.52985
31 Dec 2018 2:45:0,3766.11,3770,3755.38,3762.94,243.06987
31 Dec 2018 2:30:0,3764,3772.87,3745.59,3766.1,462.364672
31 Dec 2018 2:15:0,3779.48,3784.69,3763.17,3764.41,270.754469
31 Dec 2018 2:0:0,3795.38,3797.46,3755.85,3779.48,540.782692
31 Dec 2018 1:45:0,3795.97,3797.1,3786.02,3795.38,228.61406
31 Dec 2018 1:30:0,3797.55,3798.11,3792,3795.97,159.960931
31 Dec 2018 1:15:0,3796.94,3801.17,3789.31,3797.1,207.032442
31 Dec 2018 1:0:0,3803.12,3810,3792.21,3796.77,295.841645
31 Dec 2018 0:45:0,3793.52,3804.43,3785.64,3801.91,286.365608
31 Dec 2018 0:30:0,3787.2,3812.54,3777.15,3795.9,643.955698
31 Dec 2018 0:15:0,3789.67,3792,3776.06,3788.36,135.304777
31 Dec 2018 0:0:0,3794.92,3797,3785,3790.66,162.06248
30 Dec 2018 23:45:0,3790.98,3797.2,3787.77,3794.93,141.236841
30 Dec 2018 23:30:0,3791.23,3793.12,3786.38,3790.99,182.7644
30 Dec 2018 23:15:0,3788.35,3800,3786.43,3790.08,184.811449
30 Dec 2018 23:0:0,3794.01,3800,3785.12,3788.72,205.310882
30 Dec 2018 22:45:0,3784,3797.56,3775.1,3795.91,295.919848
30 Dec 2018 22:30:0,3793.24,3804,3764.28,3784,522.323792
30 Dec 2018 22:15:0,3790.16,3823,3785.81,3792.42,580.863023
30 Dec 2018 22:0:0,3783.92,3790.51,3783.92,3789.99,144.87371
30 Dec 2018 21:45:0,3791.39,3794.89,3782.3,3784.44,221.112116
30 Dec 2018 21:30:0,3786.72,3798.99,3781.06,3790.73,424.926084
