time,open,high,low,close,volume
31 Dec 2018 23:0:0,3671.71,3687.02,3662.02,3686.43,770.550662
31 Dec 2018 22:0:0,3672,3678,3665,3671.72,743.25843
31 Dec 2018 21:0:0,3687.47,3688.77,3657.7,3672,1786.530196
31 Dec 2018 20:0:0,3741.27,3742.22,3630.33,3687.47,3405.447231
31 Dec 2018 19:0:0,3736.57,3748.98,3731.64,3741.52,632.305436
31 Dec 2018 18:0:0,3737.59,3742.92,3722,3736.31,923.469089
31 Dec 2018 17:0:0,3752.22,3776.85,3725,3736.17,1218.391526
31 Dec 2018 16:0:0,3769.42,3783.34,3721.11,3752.46,1681.823463
31 Dec 2018 15:0:0,3732.23,3780.83,3724.81,3769.57,1018.445257
31 Dec 2018 14:0:0,3731.87,3739.82,3725.85,3732.23,770.741769
31 Dec 2018 13:0:0,3725.42,3737.42,3715,3731.58,999.042415
31 Dec 2018 12:0:0,3772,3773.53,3692.11,3725.42,2713.427219
31 Dec 2018 11:0:0,3775.59,3783.44,3769,3771.5,895.904307
31 Dec 2018 10:0:0,3751.85,3791.63,3751.04,3775.59,1341.456912
31 Dec 2018 9:0:0,3755.35,3761,3743.15,3752.21,827.945125
31 Dec 2018 8:0:0,3757,3763.12,3750.76,3754.45,603.916201
31 Dec 2018 7:0:0,3747.82,3759.53,3742.48,3757.45,592.267815
31 Dec 2018 6:0:0,3753.78,3755.6,3735,3747.45,664.03812
31 Dec 2018 5:0:0,3744.59,3756.06,3731.76,3753.72,921.690482
31 Dec 2018 4:0:0,3727.93,3751.58,3725.48,3744.58,1542.540127
31 Dec 2018 3:0:0,3762.65,3767.6,3715.73,3727.93,2433.820706
31 Dec 2018 2:0:0,3795.38,3797.46,3745.59,3762.94,1516.971703
31 Dec 2018 1:0:0,3803.12,3810,3786.02,3795.38,891.449078
31 Dec 2018 0:0:0,3794.92,3812.54,3776.06,3801.91,1227.688563
30 Dec 2018 23:0:0,3794.01,3800,3785.12,3794.93,714.123572
30 Dec 2018 22:0:0,3783.92,3823,3764.28,3795.91,1543.980373
30 Dec 2018 21:0:0,3779.31,3798.99,3745,3784.44,1628.182558
30 Dec 2018 20:0:0,3781.77,3809.85,3735.57,3780.12,1582.89436
30 Dec 2018 19:0:0,3787.24,3795,3772,3781.71,655.962446
30 Dec 2018 18:0:0,3773.75,3797.18,3769,3787.24,772.980513
