time,open,high,low,close,volume
31 Oct 2020 23:45:0,13880.36,13890,13848.59,13866.99,324.757467
31 Oct 2020 23:30:0,13846.81,13882.04,13844,13880.35,455.890848
31 Oct 2020 23:15:0,13820.48,13850,13816.38,13846.81,324.974492
31 Oct 2020 23:0:0,13838.83,13838.83,13819.44,13820.48,247.541744
31 Oct 2020 22:45:0,13832.79,13842.04,13832.79,13838.82,327.060052
31 Oct 2020 22:30:0,13830.24,13836.88,13812.43,13832.79,176.167746
31 Oct 2020 22:15:0,13839.33,13839.46,13813.22,13829.95,151.036811
31 Oct 2020 22:0:0,13837.99,13848.22,13807.44,13839.34,336.303875
31 Oct 2020 21:45:0,13795.21,13839.4,13793.99,13837.98,353.178729
31 Oct 2020 21:30:0,13807.15,13825,13793.99,13795.23,439.466139
31 Oct 2020 21:15:0,13789.8,13808.67,13766.78,13807.15,312.609581
31 Oct 2020 21:0:0,13781.87,13796.97,13745.39,13789.8,310.167656
31 Oct 2020 20:45:0,13779.34,13809.89,13767.43,13781.87,434.658553
31 Oct 2020 20:30:0,13772.82,13780,13759.99,13779.34,278.975282
31 Oct 2020 20:15:0,13723.73,13779,13723.46,13772.81,425.940565
31 Oct 2020 20:0:0,13717.11,13726.72,13675.13,13723.2,774.412274
31 Oct 2020 19:45:0,13729.99,13744.62,13704.34,13717.1,550.636788
31 Oct 2020 19:30:0,13737.57,13767.05,13728.39,13730,421.588408
31 Oct 2020 19:15:0,13720.18,13747.43,13712.14,13737.56,360.350087
31 Oct 2020 19:0:0,13778.27,13778.27,13700,13720.17,633.927036
31 Oct 2020 18:45:0,13785.19,13792.14,13759.54,13778.29,263.371878
31 Oct 2020 18:30:0,13747.01,13789.95,13732.48,13785.18,477.722812
31 Oct 2020 18:15:0,13794.76,13794.76,13747,13747,535.915805
31 Oct 2020 18:0:0,13818.49,13819.47,13770,13794.76,401.211548
31 Oct 2020 17:45:0,13812,13837.78,13810,13818.49,241.917132
31 Oct 2020 17:30:0,13826.13,13834.36,13799.71,13812,415.509951
31 Oct 2020 17:15:0,13834.5,13848.62,13826.13,13826.13,505.926737
31 Oct 2020 17:0:0,13852.01,13883.55,13827.21,13834.49,598.988164
31 Oct 2020 16:45:0,13784.42,13882.18,13783.23,13852.02,572.40721
31 Oct 2020 16:30:0,13810.43,13815.99,13778.31,13784.42,474.713376
31 Oct 2020 16:15:0,13755.26,13813.17,13730,13810.77,603.758663
31 Oct 2020 16:0:0,13811.46,13812.55,13745,13755.27,837.038242
31 Oct 2020 15:45:0,13801.54,13842.59,13801.5,13811.47,336.13895
31 Oct 2020 15:30:0,13779.58,13834,13777.85,13801.54,612.246903
31 Oct 2020 15:15:0,13856.81,13867.53,13775,13779.58,770.452035
31 Oct 2020 15:0:0,13860.96,13870,13827,13856.81,752.547333
31 Oct 2020 14:45:0,13883.98,13897,13855,13860.96,363.444421
31 Oct 2020 14:30:0,13895.27,13898,13847.5,13883.98,500.530725
31 Oct 2020 14:15:0,13874.99,13900,13818.24,13895.27,761.55639
31 Oct 2020 14:0:0,13878.5,13930,13862.96,13875,626.814609
31 Oct 2020 13:45:0,13877.14,13915,13875,13878.5,507.561666
31 Oct 2020 13:30:0,13894.77,13922.73,13860.36,13876.67,621.460014
31 Oct 2020 13:15:0,13930.14,13930.61,13855.41,13894.18,853.403259
31 Oct 2020 13:0:0,13940,13941.21,13860.3,13930.15,1134.731766
31 Oct 2020 12:45:0,13885.49,13950,13877.22,13940,918.578499
31 Oct 2020 12:30:0,13854.13,13900,13820,13885.5,681.899094
31 Oct 2020 12:15:0,13851.97,13897.56,13841.4,13854.12,858.76086
31 Oct 2020 12:0:0,13821.72,13881.92,13805,13851.97,831.697692
31 Oct 2020 11:45:0,13845.21,13860.28,13782.3,13821.72,835.085082
31 Oct 2020 11:30:0,13754.97,13846.88,13740.95,13845.21,1459.790263
31 Oct 2020 11:15:0,13904.02,13950,13572.4,13754.94,5731.36246
31 Oct 2020 11:0:0,13893.23,14100,13861.12,13904.01,5397.799618
31 Oct 2020 10:45:0,13780.86,13956.22,13766.88,13893.24,3589.440646
31 Oct 2020 10:30:0,13740.43,13795.9,13740.42,13780.86,713.757112
31 Oct 2020 10:15:0,13768.91,13809.68,13721.9,13740.43,1293.833907
31 Oct 2020 10:0:0,13739.95,13798.04,13739.92,13768.91,729.229944
31 Oct 2020 9:45:0,13778.65,13778.66,13711.58,13739.94,912.719254
31 Oct 2020 9:30:0,13818.01,13840,13751.1,13778.66,1516.957049
31 Oct 2020 9:15:0,13680,13833,13680,13818,3489.670119
31 Oct 2020 9:0:0,13576.14,13680.99,13575,13680,1482.733857
31 Oct 2020 8:45:0,13585.01,13587.4,13562.46,13576.14,205.458449
31 Oct 2020 8:30:0,13565.17,13585.01,13557.41,13585.01,281.384209
31 Oct 2020 8:15:0,13591.79,13599.61,13550.73,13565.28,312.601596
31 Oct 2020 8:0:0,13612.05,13613.87,13569.63,13591.79,393.230235
31 Oct 2020 7:45:0,13558.64,13612.05,13558.34,13612.05,376.201476
31 Oct 2020 7:30:0,13528.49,13580,13528.48,13558.64,500.623189
31 Oct 2020 7:15:0,13491.77,13528.49,13483.28,13528.48,246.01779
31 Oct 2020 7:0:0,13473.26,13491.78,13463.87,13491.78,349.198423
31 Oct 2020 6:45:0,13503.88,13509.32,13473.1,13473.26,229.293267
31 Oct 2020 6:30:0,13518.1,13523.12,13494.42,13503.88,225.677472
31 Oct 2020 6:15:0,13497.62,13518.28,13485.1,13518.1,250.097778
31 Oct 2020 6:0:0,13516.17,13525.99,13485.66,13497.63,175.176607
31 Oct 2020 5:45:0,13496.54,13518.66,13474.42,13516.16,219.757722
31 Oct 2020 5:30:0,13511.48,13518.35,13486.96,13496.53,187.624637
31 Oct 2020 5:15:0,13512.92,13512.92,13478.38,13511.31,261.859947
31 Oct 2020 5:0:0,13491.55,13518.3,13452.5,13512.92,350.854738
31 Oct 2020 4:45:0,13461.41,13500,13458,13491.54,330.212429
31 Oct 2020 4:30:0,13481.87,13510.17,13458.5,13461.41,504.63057
31 Oct 2020 4:15:0,13502.58,13534.8,13411.5,13481.87,1100.138197
31 Oct 2020 4:0:0,13611.71,13621.95,13502.92,13502.92,1079.739471
31 Oct 2020 3:45:0,13622.2,13638.99,13559.74,13611.72,510.952458
31 Oct 2020 3:30:0,13685.78,13717.05,13589.03,13622.21,711.442681
31 Oct 2020 3:15:0,13713.33,13727.37,13683,13685.78,523.390037
31 Oct 2020 3:0:0,13636.15,13740,13635.27,13713.34,1267.735528
