time,open,high,low,close,volume
30 Oct 2020 1:0:0,13455.69,13669.98,13115,13560.1,70657.778881
29 Oct 2020 1:0:0,13266.4,13642.91,12920.77,13455.7,74872.602132
28 Oct 2020 1:0:0,13636.16,13859.48,12888,13266.4,94440.561226
27 Oct 2020 1:0:0,13052.15,13789.29,13019.87,13636.17,80796.553996
26 Oct 2020 1:0:0,13029.64,13238.81,12765,13052.19,60951.672986
25 Oct 2020 2:0:0,13111.73,13350,12888,13028.83,38481.579504
24 Oct 2020 2:0:0,12923.06,13166.73,12870,13111.73,35952.20907
23 Oct 2020 2:0:0,12968.84,13027.69,12720.08,12923.07,50386.999841
22 Oct 2020 2:0:0,12780.75,13185,12678.08,12968.52,70038.824144
21 Oct 2020 2:0:0,11910,13217.68,11886.95,12780.96,114584.456767
20 Oct 2020 2:0:0,11751.46,12038.38,11677.59,11909.99,62134.750663
19 Oct 2020 2:0:0,11503.14,11823.99,11407.96,11751.47,47414.534692
18 Oct 2020 2:0:0,11360.31,11505,11346.22,11503.14,23284.041191
17 Oct 2020 2:0:0,11319.24,11402.42,11255,11360.2,22368.915241
16 Oct 2020 2:0:0,11505.13,11541.15,11200,11319.32,48797.749502
15 Oct 2020 2:0:0,11417.89,11617.34,11250.83,11505.12,48760.717679
14 Oct 2020 2:0:0,11420.57,11547.98,11280,11417.89,41415.106015
13 Oct 2020 2:0:0,11528.24,11557,11300,11420.56,42205.283709
12 Oct 2020 2:0:0,11369.02,11720.01,11172,11528.25,52825.28371
11 Oct 2020 2:0:0,11293.22,11445,11221,11369.02,29043.851339
10 Oct 2020 2:0:0,11050.64,11491,11050.51,11293.22,43648.036943
9 Oct 2020 2:0:0,10925.44,11104.64,10829,11050.64,48240.073237
8 Oct 2020 2:0:0,10666.4,10950,10530.41,10925.57,51959.691572
7 Oct 2020 2:0:0,10599.65,10681.87,10546.17,10666.39,32811.990279
6 Oct 2020 2:0:0,10792.2,10800,10525,10599.66,48674.740471
5 Oct 2020 2:0:0,10666.62,10798,10615.64,10792.21,34025.761653
4 Oct 2020 2:0:0,10542.07,10696.87,10517.87,10666.63,23212.001595
3 Oct 2020 2:0:0,10570.4,10603.56,10496.46,10542.06,22298.221341
2 Oct 2020 2:0:0,10619.13,10664.64,10374,10570.4,50130.393705
1 Oct 2020 2:0:0,10776.59,10920,10437,10619.13,60866.332893
30 Sep 2020 2:0:0,10840.58,10849.34,10665.13,10776.59,39596.027322
