time,open,high,low,close,volume
31 Oct 2020 17:0:0,13852.01,13883.55,13675.13,13781.87,7321.05302
31 Oct 2020 13:0:0,13940,13941.21,13730,13852.02,10328.805562
31 Oct 2020 9:0:0,13576.14,14100,13572.4,13940,30443.315456
31 Oct 2020 5:0:0,13491.55,13613.87,13452.5,13576.14,4565.057535
31 Oct 2020 1:0:0,13560.1,13740,13411.5,13491.54,9254.029042
30 Oct 2020 21:0:0,13536.44,13666.66,13466,13560.1,8118.644837
30 Oct 2020 17:0:0,13549.6,13582,13462.41,13536.44,9207.04492
30 Oct 2020 13:0:0,13347.8,13550,13221.35,13549.98,13340.404006
30 Oct 2020 9:0:0,13218.96,13369.47,13147.66,13347.79,12134.207154
30 Oct 2020 5:0:0,13432.34,13497.74,13115,13218.96,15179.620701
30 Oct 2020 1:0:0,13455.69,13669.98,13285,13432.34,12677.857263
29 Oct 2020 21:0:0,13492.5,13549.91,13380.5,13455.7,8779.891008
29 Oct 2020 17:0:0,13436.94,13642.91,13395.99,13492.51,16523.484874
29 Oct 2020 13:0:0,13051.68,13481.56,12920.77,13436.95,20908.412705
29 Oct 2020 9:0:0,13138.87,13208.77,13041.18,13052.06,10808.995244
29 Oct 2020 5:0:0,13280.98,13326.39,13120.88,13138.87,9893.917842
29 Oct 2020 1:0:0,13266.4,13308.54,13167,13280.99,7957.900459
28 Oct 2020 21:0:0,13165.32,13307.35,13100,13266.4,7229.241656
28 Oct 2020 17:0:0,13221.26,13255,13000.01,13165.31,15038.467099
28 Oct 2020 13:0:0,13318.33,13374.87,12888,13221.26,30316.032369
28 Oct 2020 9:0:0,13664.36,13705.59,13306.01,13318.33,17652.188986
28 Oct 2020 5:0:0,13780,13825,13506,13664.37,12194.345874
28 Oct 2020 1:0:0,13636.16,13859.48,13601,13779.99,12010.285242
27 Oct 2020 21:0:0,13656.9,13789.29,13569.28,13636.17,12059.937866
27 Oct 2020 17:0:0,13609.24,13745,13500,13656.89,19134.456814
27 Oct 2020 13:0:0,13449.8,13631,13320.27,13609.24,18478.601569
27 Oct 2020 9:0:0,13144.59,13497,13084.72,13449.8,18873.729544
27 Oct 2020 5:0:0,13083.24,13160,13061.01,13144.58,6706.31285
